;NAME;EXECUTION_CPU_1;EXECUTION_DRAM_1;implementation;number;EXECUTION_DURATION
735;pypy3_binarytrees_40;502.4017639160156;55.62403869628906;pypy3;40;4.762042045593262
736;cpython2_binarytrees_40;410.142822265625;45.21333312988281;cpython2;40;3.862398147583008
737;cpython3_binarytrees_40;456.10333251953125;50.114776611328125;cpython3;40;4.309947967529297
738;stacklesspython2_binarytrees_41;524.3868408203125;57.315330505371094;stacklesspython2;41;4.900696039199829
739;stacklesspython3_binarytrees_41;475.2163391113281;52.335205078125;stacklesspython3;41;4.490664005279541
740;intelpython2_binarytrees_41;427.7789611816406;48.74311828613281;intelpython2;41;3.792200803756714
741;intelpython3_binarytrees_41;526.6905517578125;58.74208068847656;intelpython3;41;4.970346212387085
742;activepython_binarytrees_41;504.140380859375;55.59558868408203;activepython;41;4.875737905502319
743;cython2_binarytrees_41;438.0030822753906;48.38469696044922;cython2;41;4.079881191253662
744;cython_binarytrees_41;553.8223266601562;61.595306396484375;cython;41;5.1912500858306885
745;graalpython_binarytrees_41;68.67556762695312;8.230491638183594;graalpython;41;0.7009999752044678
746;ipy_binarytrees_41;10.991790771484375;1.167633056640625;ipy;41;0.21908998489379883
